id|cet|struct
1|德紅|21c1a1
2|徒紅|23c1a1
3|陟弓|31c4a1
4|直弓|33c4a1
5|職戎|61c4a1
6|敕中|32c4a1
7|鋤弓|53c4a1
8|息弓|44c4a1
9|如融|66c4a1
10|居戎|71c4a1
11|以戎|85c4a1
12|羽弓|84c4a1
13|莫中|14c4a1
14|去宮|72c4a1
15|渠弓|73c4a1
16|房戎|13c4a1
17|方戎|11c4a1
18|敷空|12c4a1
19|昌終|62c4a1
20|力中|25c4a1
21|苦紅|72c1a1
22|古紅|71c1a1
23|莫紅|14c1a1
24|盧紅|25c1a1
25|戸公|83c1a1
26|徂紅|43c1a1
27|烏紅|81c1a1
28|倉紅|42c1a1
29|他紅|22c1a1
30|子紅|41c1a1
31|薄紅|13c1a1
32|呼東|82c1a1
33|五東|74c1a1
34|蘇公|44c1a1
35|都宗|21c1b1
36|徒冬|23c1b1
37|藏宗|43c1b1
38|奴冬|24c1b1
39|古冬|71c1b1
40|戸冬|83c1b1
41|力冬|25c1b1
42|作冬|41c1b1
43|私宗|44c1b1
44|他冬|22c1b1
45|職容|61c4b1
46|力鍾|25c4b1
47|書容|64c4b1
48|祥容|45c4b1
49|尺容|62c4b1
50|餘封|85c4b1
51|府容|11c4b1
52|許容|82c4b1
53|魚容|74c4b1
54|於容|81c4b1
55|女容|34c4b1
56|直容|33c4b1
57|疾容|43c4b1
58|丑凶|32c4b1
59|符容|13c4b1
60|敷容|12c4b1
61|即容|41c4b1
62|而容|66c4b1
63|渠容|73c4b1
64|蜀庸|63c4b1
65|九容|71c4b1
66|息恭|44c4b1
67|七恭|42c4b1
68|曲恭|72c4b1
69|古雙|71c2c1
70|莫江|14c2c1
71|女江|34c2c1
72|楚江|52c2c1
73|博江|11c2c1
74|下江|83c2c1
75|匹江|12c2c1
76|呂江|25c2c1
77|所江|54c2c1
78|薄江|13c2c1
79|許江|82c2c1
80|握江|81c2c1
81|苦江|72c2c1
82|宅江|33c2c1
83|丑江|32c2c1
84|都江|31c2c1
85|五江|74c2c1
