dienq|phuan|hvang|liio|zjew|xu|tonk|hey|code|sjeporder|sjep
uŋ|uŋ|uŋ|uŋ|uŋ|開|1|東|c1a0|1|通
ɨuŋ|iuŋ|ĭuŋ|iuŋ|iuŋ|開|3|東|c4a0|1|通
uk|uk|uk|uk|uk|開|1|東|c1a1|1|通
ɨuk|iuk|ĭuk|iuk|iuk|開|3|東|c4a1|1|通
uoŋ|uoŋ|uoŋ|oŋ|oŋ|開|1|冬|c1b0|1|通
uok|uok|uok|ok|ok|開|1|冬|c1b1|1|通
ɨoŋ|ioŋ|ĭwoŋ|ioŋ|ioŋ|開|3|鍾|c4b0|1|通
ɨok|iok|ĭwok|iok|iok|開|3|鍾|c4b1|1|通
ɣʌŋ|ɯɔŋ|ɔŋ|ɔŋ|ɔŋ|開|2|江|c2c0|2|江
ɣʌk|ɯɔk|ɔk|ɔk|ɔk|開|2|江|c2c1|2|江
iᴇ|iɛ|ǐe|ie|jɛ|開|3|支A|c5d0|3|止
iuᴇ|ʷiɛ|ǐwe|iue|juɛ|合|3|支A|o5d0|3|止
ɣiᴇ|ɯiɛ|ǐe|je|iɛ|開|3|支B|c6d0|3|止
ɣiuᴇ|ʷɯiɛ|ǐwe|jue|iuɛ|合|3|支B|o6d0|3|止
iɪ|i|i|i|jɪ|開|3|脂A|c5e0|3|止
iuɪ|ʷi|wi|ui|juɪ|合|3|脂A|o5e0|3|止
ɣiɪ|ɯi|i|ji|iɪ|開|3|脂B|c6e0|3|止
ɣiuɪ|ʷɯi|wi|jui|iuɪ|合|3|脂B|o6e0|3|止
ɨ|ɨ|ĭə|iə|ie|開|3|之|c4e0|3|止
ɨi|ɨi|ĭəi|iəi|iəi|開|3|微|c3e0|3|止
ʉi|ʷɨi|ĭwəi|iuəi|iuəi|合|3|微|o3e0|3|止
ɨʌ|iɔ|ĭo|iɔ|iɔ|開|3|魚|c4f0|4|遇
uo|uo|u|o|o|開|1|模|c1g0|4|遇
ɨo|io|ĭu|io|io|合|3|虞|o4g0|4|遇
ɑi|ɑi|ɑi|ɑi|ɑi|開|1|泰|c1h0|5|蟹
uɑi|ʷɑi|uɑi|uɑi|uɑi|合|1|泰|o1h0|5|蟹
ɨɐi|iɐi|ĭɐi|iɐi|iɐi|開|3|廢|c3h0|5|蟹
ʉɐi|ʷiɐi|ĭwɐi|iuɐi|iuɐi|合|3|廢|o3h0|5|蟹
ɣai|ɯai|æi|ai|ai|開|2|夬|c2h0|5|蟹
ɣuai|ʷɯai|wæi|uai|uai|合|2|夬|o2h0|5|蟹
ɣɛ|ɯæ|ai|ɛ|æi|開|2|佳|c2j0|5|蟹
ɣuɛ|ʷɯæ|wai|uɛ|uæi|合|2|佳|o2j0|5|蟹
ɣɛi|ɯæi|ɐi|ɛi|ɐi|開|2|皆|c2i0|5|蟹
