code|miuk
c1a1|1.01東
c1a2|3.01懂
c1a3|4.01送
c1a4|5.01屋
c1b1|1.02冬
c1b2|3.02腫
c1b3|4.02宋
c1b4|5.02沃
c1g1|1.11模
c1g2|3.10姥
c1g3|4.11暮
c1h3|4.14泰
c1i1|1.16咍
c1i2|3.15海
c1i3|4.19代
c1k1|1.24痕
c1k2|3.22很
c1k3|4.27恨
c1k4|5.11沒
c1m1|1.25寒
c1m2|3.23旱
c1m3|4.28翰
c1m4|5.12曷
c1n4|5.13末
c1o1|2.06豪
c1o2|3.32晧
c1o3|4.37号
c1p1|2.07歌
c1p2|3.33哿
c1p3|4.38箇
c1r1|2.11唐
c1r2|3.37蕩
c1r3|4.42宕
c1r4|5.19鐸
c1u1|2.17登
c1u2|3.43等
c1u3|4.48嶝
c1u4|5.25德
c1v1|2.19侯
c1v2|3.45厚
c1v3|4.50候
c1y1|2.23談
c1y2|3.49敢
c1y3|4.54闞
c1y4|5.28盍
c1z1|2.22覃
c1z2|3.48感
c1z3|4.53勘
c1z4|5.27合
c2c1|1.04江
c2c2|3.03講
c2c3|4.04絳
c2c4|5.04覺
c2h3|4.17夬
c2i1|1.14皆
c2i2|3.13駭
c2i3|4.16怪
c2j1|1.13佳
c2j2|3.12蟹
c2j3|4.15卦
c2m1|1.27刪
c2m2|3.25潸
c2m3|4.30諫
c2m4|5.15鎋
c2n1|1.28山
c2n2|3.26產
c2n3|4.31襇
c2n4|5.14黠
c2o1|2.05肴
c2o2|3.31巧
c2o3|4.36效
c2q1|2.09麻
c2q2|3.35馬
c2q3|4.40禡
c2s1|2.12庚
c2s2|3.38梗
c2s3|4.43映
c2s4|5.20陌
c2t1|2.13耕
c2t2|3.39耿
c2t3|4.44諍
c2t4|5.21麥
c2y1|2.27銜
c2y2|3.54檻
c2y3|4.59鑑
c2y4|5.32狎
c2z1|2.26咸
c2z2|3.53豏
c2z3|4.58陷
c2z4|5.31洽
c3e1|1.08微
c3e2|3.07尾
c3e3|4.08未
c3h3|4.20廢
c3k1|1.21欣
c3k2|3.19隱
c3k3|4.24焮
c3k4|5.09迄
c3m1|1.22元
c3m2|3.20阮
c3m3|4.25願
c3m4|5.10月
c3p1|2.08戈
c3s1|2.12庚
c3s2|3.38梗
c3s3|4.43映
c3s4|5.20陌
c3y1|2.28嚴
c3y2|3.52儼
c3y3|4.57釅
c3y4|5.33業
c4a1|1.01東
c4a3|4.01送
c4a4|5.01屋
c4b1|1.03鍾
c4b2|3.02腫
c4b3|4.03用
c4b4|5.03燭
c4e1|1.07之
c4e2|3.06止
c4e3|4.07志
