id|glyph|ann
1.1|東|春方也≆說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯郷東門襄仲後因氏焉齊有大夫東郭偃又有東宫得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏丗本宋大夫東郷爲[-/人]賈執英賢傳云今高密有東郷姓宋有貟外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七
1.2|菄|東風菜義見上注俗加艹
1.3|鶇|鶇鵍鳥名美形出廣雅亦作𪂝
1.4|䍶|獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟
1.5|𠍀|儱倲儜劣皃出字諟
1.6|倲|上同
1.7|𩜍|地理志云東郡館名
1.8|𢘐|古文見道經
1.9|涷|瀧涷沾漬≆說文曰水出發鳩山入於河又都貢切
1.10|蝀|螮蝀虹也又音董
1.11|凍|凍凌又都貢切
1.12|鯟|魚名似鯉
1.13|𢔅|行皃
1.14|崠|崠如山名
1.15|埬|上埬地名
1.16|𧓕|蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵
1.17|䰤|醜皃
2.1|同|齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五
2.2|仝|古文出道書
2.3|童|童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉
2.4|僮|僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通
2.5|銅|金之一品
2.6|桐|木名月令曰淸明之日桐始華又桐廬縣在睦州亦姓有桐君藥録兩卷
2.7|峒|崆峒山名
2.8|硐|磨也
2.9|𦨴|𦨴舩
2.10|𧱁|獸似豕出泰山
2.11|筒|竹筒又竹名射筒吳都賦曰其竹則桂箭射筒
2.12|瞳|目瞳
2.13|㼧|㼧瓦
2.14|𤭁|上同
2.15|罿|車上網又音衝
2.16|犝|犝牛無角
2.17|筩|竹筩
2.18|潼|水名出廣漢郡亦關名又通衝二音
2.19|曈|曈曨日欲明也又他孔切
2.20|洞|洪洞縣名在晉州北又徒弄切
2.21|侗|楊子法言云倥侗顓蒙
2.22|橦|木名花可爲布出字書又鍾幢二音
2.23|烔|熱氣烔烔出字林
2.24|䴀|鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欽期交州記
2.25|挏|引也漢官名有挏馬又音動
2.26|酮|馬酪又音動
2.27|鮦|爾雅云鰹大鮦又直冡直栁二切
2.28|㼿|井甓一云甃也
2.29|𦏆|無角羊
2.30|𦍻|上同
2.31|眮|目眶又徒揔切
2.32|蕫|草名又多動切
2.33|穜|穜稑先種後熟謂之穜後種先熟謂之稑又音重
2.34|衕|通街也
2.35|𩍅|靫具飾也
2.36|𢈉|地下應聲
2.37|䆚|通䆚也
2.38|哃|哃𠹔大言
2.39|𢏕|弓飾
2.40|絧|布名
2.41|𨚯|郷名
2.42|𨝯|地名又姓
2.43|𪔝|鼓聲
2.44|𩦶|黑虎
2.45|𪒿|黑皃
3.1|中|平也成也宜也堪也任也和也半也又姓漢少府郷中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四
3.2|衷|善也正也適也中也又衷衣褻衣也
3.3|忠|無私也敬也直也厚也亦州名本漢臨江縣屬巴郡後魏置臨州貞觀爲忠州
3.4|𦬕|草名又音沖
4.1|蟲|爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲[進/達]直弓切七
4.2|沖|和也深也
4.3|种|稚也或作沖亦姓後漢司徒河南种暠
4.4|盅|器虛也又敕中切
4.5|爞|爾雅云爞爞炎炎熏也
4.6|𦬕|草名又音中
4.7|翀|直上飛也
5.1|終|極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五
5.2|衆|又之仲切
5.3|潨|小水入大水又徂紅在冬二切
5.4|𣧩|殁也
5.5|螽|螽斯蟲也
5.6|𧑄|上同
5.7|鼨|豹文䑕也
5.8|蔠|蔠葵蘩露也
5.9|柊|木名又齊人謂椎爲柊楑也
5.10|𩅧|小雨
5.11|䶱|字書云龜名也
5.12|鴤|鳥名
5.13|䈺|篋䈺戎人呼之
5.14|泈|水名在襄陽
5.15|䝦|獸如豹
6.1|忡|憂也敕中切三
6.2|浺|浺瀜水平逺之皃又音蟲
6.3|盅|器虚也又音蟲
7.1|崇|高也敬也就也聚也又姓鋤弓切四
7.2|崈|上同
7.3|㓽|鍤屬
7.4|𩞉|饞𩞉貪食也出古今字音
8.1|嵩|山髙也又山名又姓史記有嵩極玄子或作崧息弓切九
8.2|崧|上同
8.3|𪀚|似鷹而小能捕雀也
8.4|娀|有娀氏女𥳑狄帝嚳次妃吞乙卵生契
8.5|菘|菜名
8.6|硹|地名在遼
8.7|㣝|姓也
8.8|𧊕|蟲名
8.9|𨱿|細毛
9.1|戎|戎狄亦助也≆說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九
9.2|𢦦|上同
9.3|茙|茙葵蜀葵也又虜姓後魏書官氏志云南方有茙眷氏改爲茙氏也
9.4|㭜|木名
9.5|駥|馬八尺也
9.6|𥬪|小竹可爲矢
9.7|𠈋|𠈋人身有三角也
9.8|狨|細布
9.9|絨|上同
10.1|弓|弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也丗本曰黃帝臣揮作弓墨子曰羿作弓孫子曰[傜/倕]作弓又姓魯大夫叔弓之後居戎切六
10.2|躳|身也親也又姓出姓苑
10.3|躬|上同
10.4|㴦|縣名在酒泉
10.5|宮|白虎通曰黃帝作宫室以避寒暑宫之言中也丗本曰禹作宫亦官名漢書曰少府官有守宫令主御筆墨紙封書泥也又姓左傳虞有宫之奇
